Generating the reference point cloud
Model name: axe_handle
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'axe_handle', 'axe_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('axe_handle', 'drill_bit'), ('axe_head', 'plastic_claw')], Total Error: 0.6027, Shape Error: 0.0285, Size Error: 0.3406, Ratio Error: 0.4673
Matches: [('axe_handle', 'tongs'), ('axe_head', 'plastic_claw')], Total Error: 0.6581, Shape Error: 0.1759, Size Error: 0.3780, Ratio Error: 0.2085
Matches: [('axe_handle', 'wood_L_shape'), ('axe_head', 'plastic_claw')], Total Error: 0.6755, Shape Error: 0.0285, Size Error: 0.4473, Ratio Error: 0.3994
Matches: [('axe_handle', 'wooden_screw'), ('axe_head', 'plastic_claw')], Total Error: 0.7289, Shape Error: 0.3017, Size Error: 0.3144, Ratio Error: 0.2256
Matches: [('axe_handle', 'plastic_clip'), ('axe_head', 'plastic_claw')], Total Error: 0.7390, Shape Error: 0.0657, Size Error: 0.3772, Ratio Error: 0.5922
Matches: [('axe_handle', 'drill_bit'), ('axe_head', 'foam_triangle')], Total Error: 0.7909, Shape Error: 0.2890, Size Error: 0.2764, Ratio Error: 0.4511
Matches: [('axe_handle', 'screwdriver_small'), ('axe_head', 'plastic_claw')], Total Error: 0.7928, Shape Error: 0.2546, Size Error: 0.4007, Ratio Error: 0.2749
Matches: [('axe_handle', 'tongs'), ('axe_head', 'foam_triangle')], Total Error: 0.8464, Shape Error: 0.4364, Size Error: 0.3138, Ratio Error: 0.1922
Matches: [('axe_handle', 'wood_L_shape'), ('axe_head', 'foam_triangle')], Total Error: 0.8637, Shape Error: 0.2890, Size Error: 0.3832, Ratio Error: 0.3832
Matches: [('axe_handle', 'drill_bit'), ('axe_head', 'purple_foam')], Total Error: 0.8651, Shape Error: 0.2495, Size Error: 0.3224, Ratio Error: 0.5863
Matches: [('axe_handle', 'fries'), ('axe_head', 'plastic_claw')], Total Error: 0.8700, Shape Error: 0.1548, Size Error: 0.3991, Ratio Error: 0.6320
Matches: [('axe_handle', 'wooden_screw'), ('axe_head', 'foam_triangle')], Total Error: 0.9171, Shape Error: 0.5622, Size Error: 0.2503, Ratio Error: 0.2093
