Matches: [('hammer_handle', 'wood_L_shape'), ('hammer_head', 'purple_foam')], Total Error: 0.9486, Shape Error: 0.2652, Size Error: 0.4507, Ratio Error: 0.4656
Matches: [('hammer_handle', 'wood_L_shape'), ('hammer_head', 'plastic_claw')], Total Error: 0.9563, Shape Error: 0.0166, Size Error: 0.5781, Ratio Error: 0.7232
Matches: [('hammer_handle', 'drill_bit'), ('hammer_head', 'purple_foam')], Total Error: 0.9625, Shape Error: 0.2652, Size Error: 0.4158, Ratio Error: 0.5632
Matches: [('hammer_handle', 'drill_bit'), ('hammer_head', 'plastic_claw')], Total Error: 0.9702, Shape Error: 0.0166, Size Error: 0.5432, Ratio Error: 0.8208
Matches: [('hammer_handle', 'tongs'), ('hammer_head', 'purple_foam')], Total Error: 1.0208, Shape Error: 0.4126, Size Error: 0.4165, Ratio Error: 0.3834
Matches: [('hammer_handle', 'tongs'), ('hammer_head', 'plastic_claw')], Total Error: 1.0284, Shape Error: 0.1640, Size Error: 0.5440, Ratio Error: 0.6410
Matches: [('hammer_handle', 'wood_L_shape'), ('hammer_head', 'red_foam')], Total Error: 1.0289, Shape Error: 0.1626, Size Error: 0.5045, Ratio Error: 0.7236
Matches: [('hammer_handle', 'drill_bit'), ('hammer_head', 'red_foam')], Total Error: 1.0428, Shape Error: 0.1626, Size Error: 0.4696, Ratio Error: 0.8212
Matches: [('hammer_handle', 'tongs'), ('hammer_head', 'red_foam')], Total Error: 1.1010, Shape Error: 0.3100, Size Error: 0.4703, Ratio Error: 0.6414
Matches: [('hammer_handle', 'wooden_screw'), ('hammer_head', 'purple_foam')], Total Error: 1.1348, Shape Error: 0.5384, Size Error: 0.3906, Ratio Error: 0.4115
Matches: [('hammer_handle', 'wooden_screw'), ('hammer_head', 'plastic_claw')], Total Error: 1.1424, Shape Error: 0.2898, Size Error: 0.5181, Ratio Error: 0.6692
Matches: [('hammer_handle', 'plastic_clip'), ('hammer_head', 'purple_foam')], Total Error: 1.1774, Shape Error: 0.3024, Size Error: 0.5198, Ratio Error: 0.7104
Matches: [('hammer_handle', 'screwdriver_small'), ('hammer_head', 'purple_foam')], Total Error: 1.1783, Shape Error: 0.4913, Size Error: 0.4563, Ratio Error: 0.4612
Matches: [('hammer_handle', 'plastic_clip'), ('hammer_head', 'plastic_claw')], Total Error: 1.1851, Shape Error: 0.0537, Size Error: 0.6473, Ratio Error: 0.9681
