Generating the reference point cloud
Model name: knife_handle
Model name: knife_head
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Generating the candidate point cloud
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'knife_handle', 'knife_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('knife_handle', 'plastic_clip'), ('knife_head', 'metal_hair_clip')], Total Error: 1.2594, Shape Error: 0.2000, Size Error: 0.3742, Ratio Error: 1.3704
Matches: [('knife_handle', 'drill_bit'), ('knife_head', 'metal_hair_clip')], Total Error: 1.2682, Shape Error: 0.1628, Size Error: 0.4543, Ratio Error: 1.3023
Matches: [('knife_handle', 'tongs'), ('knife_head', 'metal_hair_clip')], Total Error: 1.3571, Shape Error: 0.3102, Size Error: 0.5165, Ratio Error: 1.0608
Matches: [('knife_handle', 'wooden_screw'), ('knife_head', 'metal_hair_clip')], Total Error: 1.3925, Shape Error: 0.4360, Size Error: 0.4390, Ratio Error: 1.0350
Matches: [('knife_handle', 'screwdriver_small'), ('knife_head', 'metal_hair_clip')], Total Error: 1.3965, Shape Error: 0.3890, Size Error: 0.5133, Ratio Error: 0.9886
Matches: [('knife_handle', 'fries'), ('knife_head', 'metal_hair_clip')], Total Error: 1.4090, Shape Error: 0.2892, Size Error: 0.3877, Ratio Error: 1.4641
Matches: [('knife_handle', 'wood_L_shape'), ('knife_head', 'metal_hair_clip')], Total Error: 1.4133, Shape Error: 0.1628, Size Error: 0.6036, Ratio Error: 1.2940
Matches: [('knife_handle', 'plastic_claw'), ('knife_head', 'metal_hair_clip')], Total Error: 1.4418, Shape Error: 0.1794, Size Error: 0.5058, Ratio Error: 1.5133
Matches: [('knife_handle', 'screwdriver_large'), ('knife_head', 'metal_hair_clip')], Total Error: 1.4606, Shape Error: 0.5436, Size Error: 0.3872, Ratio Error: 1.0597
Matches: [('knife_handle', 'red_cylinder_magnetic'), ('knife_head', 'metal_hair_clip')], Total Error: 1.5449, Shape Error: 0.6335, Size Error: 0.3859, Ratio Error: 1.0508
Matches: [('knife_handle', 'pliers'), ('knife_head', 'metal_hair_clip')], Total Error: 1.5605, Shape Error: 0.1628, Size Error: 0.5334, Ratio Error: 1.7286
Matches: [('knife_handle', 'purple_foam'), ('knife_head', 'metal_hair_clip')], Total Error: 1.6449, Shape Error: 0.4280, Size Error: 0.5108, Ratio Error: 1.4123
