Generating the reference point cloud
Model name: rake_head
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'rake_handle', 'rake_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'wood_long_endPoint')], Total Error: 1.0688, Shape Error: 0.0181, Size Error: 0.6427, Ratio Error: 0.8159
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'pliers')], Total Error: 1.0797, Shape Error: 0.4170, Size Error: 0.3926, Ratio Error: 0.5402
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'plastic_clip')], Total Error: 1.0846, Shape Error: 0.3799, Size Error: 0.4117, Ratio Error: 0.5861
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'wood_short_midPoint')], Total Error: 1.1219, Shape Error: 0.2088, Size Error: 0.5611, Ratio Error: 0.7039
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'wood_long_endPoint')], Total Error: 1.1252, Shape Error: 0.0181, Size Error: 0.6463, Ratio Error: 0.9215
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'plastic_handle')], Total Error: 1.1283, Shape Error: 0.0567, Size Error: 0.5711, Ratio Error: 1.0011
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'foam_roll')], Total Error: 1.1326, Shape Error: 0.2358, Size Error: 0.5529, Ratio Error: 0.6878
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'screwdriver_large')], Total Error: 1.1353, Shape Error: 0.0364, Size Error: 0.5572, Ratio Error: 1.0834
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'pliers')], Total Error: 1.1361, Shape Error: 0.4170, Size Error: 0.3962, Ratio Error: 0.6458
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'plastic_clip')], Total Error: 1.1410, Shape Error: 0.3799, Size Error: 0.4153, Ratio Error: 0.6917
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'steel_bowl_small')], Total Error: 1.1427, Shape Error: 0.2907, Size Error: 0.5178, Ratio Error: 0.6684
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'wood_short_midPoint')], Total Error: 1.1782, Shape Error: 0.2088, Size Error: 0.5647, Ratio Error: 0.8094
Matches: [('rake_handle', 'tongs'), ('rake_head', 'wood_long_endPoint')], Total Error: 1.1791, Shape Error: 0.1655, Size Error: 0.6314, Ratio Error: 0.7643
Matches: [('rake_handle', 'wood_L_shape'), ('rake_head', 'foam_triangle')], Total Error: 1.1820, Shape Error: 0.1979, Size Error: 0.5953, Ratio Error: 0.7776
Matches: [('rake_handle', 'drill_bit'), ('rake_head', 'plastic_handle')], Total Error: 1.1847, Shape Error: 0.0567, Size Error: 0.5747, Ratio Error: 1.1067
