Generating the reference point cloud
Model name: screwdriver_head
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'screwdriver_body', 'screwdriver_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('screwdriver_body', 'wood_long_midPoint'), ('screwdriver_head', 'wood_L_shape')], Total Error: 0.9911, Shape Error: 0.1170, Size Error: 0.5665, Ratio Error: 0.6150
Matches: [('screwdriver_body', 'wood_long_midPoint'), ('screwdriver_head', 'drill_bit')], Total Error: 1.0156, Shape Error: 0.1170, Size Error: 0.5408, Ratio Error: 0.7155
Matches: [('screwdriver_body', 'wood_long_midPoint'), ('screwdriver_head', 'tongs')], Total Error: 1.0756, Shape Error: 0.2645, Size Error: 0.5376, Ratio Error: 0.5472
Matches: [('screwdriver_body', 'wood_spread_tooth'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.0797, Shape Error: 0.0037, Size Error: 0.5918, Ratio Error: 0.9685
Matches: [('screwdriver_body', 'wood_spread_tooth'), ('screwdriver_head', 'drill_bit')], Total Error: 1.1042, Shape Error: 0.0037, Size Error: 0.5661, Ratio Error: 1.0690
Matches: [('screwdriver_body', 'wood_block_stack'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.1258, Shape Error: 0.2017, Size Error: 0.5938, Ratio Error: 0.6605
Matches: [('screwdriver_body', 'fork'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.1354, Shape Error: 0.0057, Size Error: 0.6546, Ratio Error: 0.9504
Matches: [('screwdriver_body', 'wood_block_stack'), ('screwdriver_head', 'drill_bit')], Total Error: 1.1503, Shape Error: 0.2017, Size Error: 0.5681, Ratio Error: 0.7610
Matches: [('screwdriver_body', 'fork'), ('screwdriver_head', 'drill_bit')], Total Error: 1.1600, Shape Error: 0.0057, Size Error: 0.6289, Ratio Error: 1.0509
Matches: [('screwdriver_body', 'wood_spread_tooth'), ('screwdriver_head', 'tongs')], Total Error: 1.1643, Shape Error: 0.1511, Size Error: 0.5628, Ratio Error: 0.9008
Matches: [('screwdriver_body', 'wood_long_midPoint'), ('screwdriver_head', 'wooden_screw')], Total Error: 1.1954, Shape Error: 0.3903, Size Error: 0.5164, Ratio Error: 0.5774
Matches: [('screwdriver_body', 'wood_block_stack'), ('screwdriver_head', 'tongs')], Total Error: 1.2103, Shape Error: 0.3491, Size Error: 0.5649, Ratio Error: 0.5927
Matches: [('screwdriver_body', 'fork'), ('screwdriver_head', 'tongs')], Total Error: 1.2200, Shape Error: 0.1531, Size Error: 0.6256, Ratio Error: 0.8826
Matches: [('screwdriver_body', 'wood_long_midPoint'), ('screwdriver_head', 'screwdriver_small')], Total Error: 1.2353, Shape Error: 0.3432, Size Error: 0.5787, Ratio Error: 0.6268
Matches: [('screwdriver_body', 'wood_long_midPoint'), ('screwdriver_head', 'plastic_clip')], Total Error: 1.2365, Shape Error: 0.1542, Size Error: 0.6498, Ratio Error: 0.8650
Matches: [('screwdriver_body', 'screwdriver_large'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.2395, Shape Error: 0.5136, Size Error: 0.4840, Ratio Error: 0.4838
Matches: [('screwdriver_body', 'screwdriver_large'), ('screwdriver_head', 'drill_bit')], Total Error: 1.2641, Shape Error: 0.5136, Size Error: 0.4583, Ratio Error: 0.5843
Matches: [('screwdriver_body', 'yellow_foam'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.2770, Shape Error: 0.2797, Size Error: 0.5787, Ratio Error: 0.8371
Matches: [('screwdriver_body', 'wood_spread_tooth'), ('screwdriver_head', 'wooden_screw')], Total Error: 1.2840, Shape Error: 0.2769, Size Error: 0.5417, Ratio Error: 0.9310
Matches: [('screwdriver_body', 'yellow_foam'), ('screwdriver_head', 'drill_bit')], Total Error: 1.3015, Shape Error: 0.2797, Size Error: 0.5530, Ratio Error: 0.9376
Matches: [('screwdriver_body', 'red_cylinder_magnetic'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.3032, Shape Error: 0.5877, Size Error: 0.4881, Ratio Error: 0.4547
Matches: [('screwdriver_body', 'wood_long_midPoint'), ('screwdriver_head', 'wood_long_endPoint')], Total Error: 1.3193, Shape Error: 0.5160, Size Error: 0.4173, Ratio Error: 0.7720
Matches: [('screwdriver_body', 'wood_spread_tooth'), ('screwdriver_head', 'screwdriver_small')], Total Error: 1.3240, Shape Error: 0.2298, Size Error: 0.6040, Ratio Error: 0.9803
Matches: [('screwdriver_body', 'screwdriver_large'), ('screwdriver_head', 'tongs')], Total Error: 1.3241, Shape Error: 0.6610, Size Error: 0.4551, Ratio Error: 0.4160
Matches: [('screwdriver_body', 'wood_spread_tooth'), ('screwdriver_head', 'plastic_clip')], Total Error: 1.3252, Shape Error: 0.0409, Size Error: 0.6751, Ratio Error: 1.2185
Matches: [('screwdriver_body', 'red_cylinder_magnetic'), ('screwdriver_head', 'drill_bit')], Total Error: 1.3277, Shape Error: 0.5877, Size Error: 0.4624, Ratio Error: 0.5552
Matches: [('screwdriver_body', 'wood_block_stack'), ('screwdriver_head', 'wooden_screw')], Total Error: 1.3301, Shape Error: 0.4749, Size Error: 0.5437, Ratio Error: 0.6229
Matches: [('screwdriver_body', 'wooden_screw'), ('screwdriver_head', 'wood_L_shape')], Total Error: 1.3316, Shape Error: 0.6212, Size Error: 0.5162, Ratio Error: 0.3884
Matches: [('screwdriver_body', 'fork'), ('screwdriver_head', 'wooden_screw')], Total Error: 1.3398, Shape Error: 0.2789, Size Error: 0.6045, Ratio Error: 0.9128
Matches: [('screwdriver_body', 'wooden_screw'), ('screwdriver_head', 'drill_bit')], Total Error: 1.3561, Shape Error: 0.6212, Size Error: 0.4905, Ratio Error: 0.4889
Matches: [('screwdriver_body', 'yellow_foam'), ('screwdriver_head', 'tongs')], Total Error: 1.3615, Shape Error: 0.4271, Size Error: 0.5498, Ratio Error: 0.7693
Matches: [('screwdriver_body', 'wood_long_midPoint'), ('screwdriver_head', 'fries')], Total Error: 1.3690, Shape Error: 0.2434, Size Error: 0.6948, Ratio Error: 0.8615
Matches: [('screwdriver_body', 'wood_block_stack'), ('screwdriver_head', 'screwdriver_small')], Total Error: 1.3700, Shape Error: 0.4279, Size Error: 0.6060, Ratio Error: 0.6723
Matches: [('screwdriver_body', 'wood_block_stack'), ('screwdriver_head', 'plastic_clip')], Total Error: 1.3713, Shape Error: 0.2389, Size Error: 0.6771, Ratio Error: 0.9105
Matches: [('screwdriver_body', 'fork'), ('screwdriver_head', 'screwdriver_small')], Total Error: 1.3797, Shape Error: 0.2318, Size Error: 0.6668, Ratio Error: 0.9622
Matches: [('screwdriver_body', 'fork'), ('screwdriver_head', 'plastic_clip')], Total Error: 1.3809, Shape Error: 0.0429, Size Error: 0.7379, Ratio Error: 1.2003
