Generating the reference point cloud
Model name: shovel_head
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'shovel_head', 'shovel_handle'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('shovel_head', 'plastic_claw'), ('shovel_handle', 'drill_bit')], Total Error: 0.5956, Shape Error: 0.0166, Size Error: 0.3126, Ratio Error: 0.5328
Matches: [('shovel_head', 'plastic_claw'), ('shovel_handle', 'wood_L_shape')], Total Error: 0.6003, Shape Error: 0.0166, Size Error: 0.3641, Ratio Error: 0.4394
Matches: [('shovel_head', 'plastic_claw'), ('shovel_handle', 'tongs')], Total Error: 0.6537, Shape Error: 0.1640, Size Error: 0.3220, Ratio Error: 0.3354
Matches: [('shovel_head', 'plastic_claw'), ('shovel_handle', 'wooden_screw')], Total Error: 0.7559, Shape Error: 0.2898, Size Error: 0.2869, Ratio Error: 0.3584
Matches: [('shovel_head', 'plastic_claw'), ('shovel_handle', 'plastic_clip')], Total Error: 0.7940, Shape Error: 0.0537, Size Error: 0.4019, Ratio Error: 0.6766
Matches: [('shovel_head', 'plastic_claw'), ('shovel_handle', 'screwdriver_small')], Total Error: 0.8062, Shape Error: 0.2427, Size Error: 0.3591, Ratio Error: 0.4088
Matches: [('shovel_head', 'plastic_clip'), ('shovel_handle', 'drill_bit')], Total Error: 0.8624, Shape Error: 0.0372, Size Error: 0.4600, Ratio Error: 0.7302
Matches: [('shovel_head', 'plastic_clip'), ('shovel_handle', 'wood_L_shape')], Total Error: 0.8671, Shape Error: 0.0372, Size Error: 0.5115, Ratio Error: 0.6369
Matches: [('shovel_head', 'plastic_claw'), ('shovel_handle', 'fries')], Total Error: 0.9168, Shape Error: 0.1429, Size Error: 0.4312, Ratio Error: 0.6855
Matches: [('shovel_head', 'plastic_clip'), ('shovel_handle', 'tongs')], Total Error: 0.9205, Shape Error: 0.1846, Size Error: 0.4694, Ratio Error: 0.5329
Matches: [('shovel_head', 'plastic_claw'), ('shovel_handle', 'wood_long_endPoint')], Total Error: 0.9285, Shape Error: 0.4155, Size Error: 0.2063, Ratio Error: 0.6134
Matches: [('shovel_head', 'purple_foam'), ('shovel_handle', 'drill_bit')], Total Error: 0.9539, Shape Error: 0.2652, Size Error: 0.3837, Ratio Error: 0.6101
Matches: [('shovel_head', 'purple_foam'), ('shovel_handle', 'wood_L_shape')], Total Error: 0.9586, Shape Error: 0.2652, Size Error: 0.4351, Ratio Error: 0.5167
Matches: [('shovel_head', 'pliers'), ('shovel_handle', 'drill_bit')], Total Error: 0.9749, Shape Error: 0.0000, Size Error: 0.5078, Ratio Error: 0.9342
Matches: [('shovel_head', 'pliers'), ('shovel_handle', 'wood_L_shape')], Total Error: 0.9796, Shape Error: 0.0000, Size Error: 0.5593, Ratio Error: 0.8408
Matches: [('shovel_head', 'plastic_claw'), ('shovel_handle', 'screwdriver_large')], Total Error: 0.9822, Shape Error: 0.3974, Size Error: 0.3441, Ratio Error: 0.4814
