Generating the reference point cloud
Model name: spatula_handle
Jupyter environment detected. Enabling Open3D WebVisualizer.
[Open3D INFO] WebRTC GUI backend enabled.
[Open3D INFO] WebRTCWindowSystem: HTTP handshake server disabled.
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Fitting SuperQuadric function for missing reference objects: {'spatula_handle', 'spatula_head'}
Parameters saved to ../src/parameters_ref.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('spatula_handle', 'drill_bit'), ('spatula_head', 'plastic_green_square')], Total Error: 2.7677, Shape Error: 0.6990, Size Error: 0.5175, Ratio Error: 3.1026
Matches: [('spatula_handle', 'wood_L_shape'), ('spatula_head', 'plastic_green_square')], Total Error: 2.7918, Shape Error: 0.6990, Size Error: 0.5672, Ratio Error: 3.0513
Matches: [('spatula_handle', 'drill_bit'), ('spatula_head', 'circle_spam')], Total Error: 2.8432, Shape Error: 1.4720, Size Error: 0.4680, Ratio Error: 1.8063
Matches: [('spatula_handle', 'drill_bit'), ('spatula_head', 'disc_small')], Total Error: 2.8603, Shape Error: 1.3222, Size Error: 0.4981, Ratio Error: 2.0799
Matches: [('spatula_handle', 'drill_bit'), ('spatula_head', 'disc_small')], Total Error: 2.8603, Shape Error: 1.3222, Size Error: 0.4981, Ratio Error: 2.0799
Matches: [('spatula_handle', 'wood_L_shape'), ('spatula_head', 'circle_spam')], Total Error: 2.8672, Shape Error: 1.4720, Size Error: 0.5177, Ratio Error: 1.7550
Matches: [('spatula_handle', 'wood_L_shape'), ('spatula_head', 'disc_small')], Total Error: 2.8843, Shape Error: 1.3222, Size Error: 0.5478, Ratio Error: 2.0286
Matches: [('spatula_handle', 'wood_L_shape'), ('spatula_head', 'disc_small')], Total Error: 2.8843, Shape Error: 1.3222, Size Error: 0.5478, Ratio Error: 2.0286
Matches: [('spatula_handle', 'wood_long_endPoint'), ('spatula_head', 'plastic_green_square')], Total Error: 2.9151, Shape Error: 1.0979, Size Error: 0.3877, Ratio Error: 2.8590
Matches: [('spatula_handle', 'plastic_clip'), ('spatula_head', 'plastic_green_square')], Total Error: 2.9625, Shape Error: 0.7362, Size Error: 0.6160, Ratio Error: 3.2206
Matches: [('spatula_handle', 'wood_long_endPoint'), ('spatula_head', 'circle_spam')], Total Error: 2.9906, Shape Error: 1.8710, Size Error: 0.3382, Ratio Error: 1.5628
