Generating the reference point cloud
Model name: spoon_head
Parameters loaded from ../src/parameters_ref.csv
Parameters loaded from ../src/parameters_cand.csv
Finding the best matching candidate objects to the reference tool set
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'drill_bit')], Total Error: 0.6228, Shape Error: 0.1092, Size Error: 0.3980, Ratio Error: 0.2311
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'wood_L_shape')], Total Error: 0.6822, Shape Error: 0.1092, Size Error: 0.5136, Ratio Error: 0.1189
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'plastic_clip')], Total Error: 0.7705, Shape Error: 0.1464, Size Error: 0.4282, Ratio Error: 0.3918
Matches: [('spoon_head', 'popcorn'), ('spoon_body', 'drill_bit')], Total Error: 0.7748, Shape Error: 0.0706, Size Error: 0.4433, Ratio Error: 0.5216
Matches: [('spoon_head', 'popcorn'), ('spoon_body', 'wood_L_shape')], Total Error: 0.8342, Shape Error: 0.0706, Size Error: 0.5589, Ratio Error: 0.4093
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'fries')], Total Error: 0.8653, Shape Error: 0.2355, Size Error: 0.4461, Ratio Error: 0.3672
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'tongs')], Total Error: 0.8666, Shape Error: 0.2566, Size Error: 0.4509, Ratio Error: 0.3182
Matches: [('spoon_head', 'plastic_wahl_clippers'), ('spoon_body', 'drill_bit')], Total Error: 0.9221, Shape Error: 0.5138, Size Error: 0.2766, Ratio Error: 0.2633
Matches: [('spoon_head', 'popcorn'), ('spoon_body', 'plastic_clip')], Total Error: 0.9225, Shape Error: 0.1078, Size Error: 0.4735, Ratio Error: 0.6823
Matches: [('spoon_head', 'wood_wheel'), ('spoon_body', 'drill_bit')], Total Error: 0.9587, Shape Error: 0.3835, Size Error: 0.4192, Ratio Error: 0.3119
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'wooden_screw')], Total Error: 0.9744, Shape Error: 0.3824, Size Error: 0.3922, Ratio Error: 0.3997
Matches: [('spoon_head', 'plastic_wahl_clippers'), ('spoon_body', 'wood_L_shape')], Total Error: 0.9815, Shape Error: 0.5138, Size Error: 0.3921, Ratio Error: 0.1511
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'pliers')], Total Error: 1.0124, Shape Error: 0.1092, Size Error: 0.5545, Ratio Error: 0.6975
Matches: [('spoon_head', 'popcorn'), ('spoon_body', 'fries')], Total Error: 1.0172, Shape Error: 0.1970, Size Error: 0.4914, Ratio Error: 0.6577
Matches: [('spoon_head', 'wood_wheel'), ('spoon_body', 'wood_L_shape')], Total Error: 1.0181, Shape Error: 0.3835, Size Error: 0.5348, Ratio Error: 0.1996
Matches: [('spoon_head', 'popcorn'), ('spoon_body', 'tongs')], Total Error: 1.0186, Shape Error: 0.2180, Size Error: 0.4962, Ratio Error: 0.6087
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'screwdriver_small')], Total Error: 1.0191, Shape Error: 0.3353, Size Error: 0.4756, Ratio Error: 0.4165
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'wood_long_endPoint')], Total Error: 1.0266, Shape Error: 0.5081, Size Error: 0.3575, Ratio Error: 0.3221
Matches: [('spoon_head', 'plastic_wahl_clippers'), ('spoon_body', 'plastic_clip')], Total Error: 1.0698, Shape Error: 0.5510, Size Error: 0.3068, Ratio Error: 0.4240
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'wood_short_midPoint')], Total Error: 1.0810, Shape Error: 0.5433, Size Error: 0.3695, Ratio Error: 0.3364
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'plastic_claw')], Total Error: 1.1050, Shape Error: 0.1257, Size Error: 0.6339, Ratio Error: 0.6908
Matches: [('spoon_head', 'wood_wheel'), ('spoon_body', 'plastic_clip')], Total Error: 1.1064, Shape Error: 0.4207, Size Error: 0.4494, Ratio Error: 0.4725
Matches: [('spoon_head', 'popcorn'), ('spoon_body', 'wooden_screw')], Total Error: 1.1264, Shape Error: 0.3438, Size Error: 0.4375, Ratio Error: 0.6902
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'foam_roll')], Total Error: 1.1555, Shape Error: 0.5455, Size Error: 0.3955, Ratio Error: 0.4292
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'screwdriver_large')], Total Error: 1.1606, Shape Error: 0.4900, Size Error: 0.4169, Ratio Error: 0.5073
Matches: [('spoon_head', 'popcorn'), ('spoon_body', 'pliers')], Total Error: 1.1644, Shape Error: 0.0706, Size Error: 0.5998, Ratio Error: 0.9879
Matches: [('spoon_head', 'plastic_wahl_clippers'), ('spoon_body', 'fries')], Total Error: 1.1646, Shape Error: 0.6402, Size Error: 0.3247, Ratio Error: 0.3994
Matches: [('spoon_head', 'plastic_wahl_clippers'), ('spoon_body', 'tongs')], Total Error: 1.1659, Shape Error: 0.6612, Size Error: 0.3295, Ratio Error: 0.3504
Matches: [('spoon_head', 'popcorn'), ('spoon_body', 'screwdriver_small')], Total Error: 1.1711, Shape Error: 0.2968, Size Error: 0.5209, Ratio Error: 0.7069
Matches: [('spoon_head', 'popcorn'), ('spoon_body', 'wood_long_endPoint')], Total Error: 1.1786, Shape Error: 0.4695, Size Error: 0.4028, Ratio Error: 0.6126
Matches: [('spoon_head', 'gripper_sleeve'), ('spoon_body', 'drill_bit')], Total Error: 1.1807, Shape Error: 0.4250, Size Error: 0.4875, Ratio Error: 0.5362
Matches: [('spoon_head', 'foam_triangle'), ('spoon_body', 'drill_bit')], Total Error: 1.1810, Shape Error: 0.7140, Size Error: 0.3272, Ratio Error: 0.2796
Matches: [('spoon_head', 'pizza'), ('spoon_body', 'drill_bit')], Total Error: 1.2006, Shape Error: 0.5541, Size Error: 0.4253, Ratio Error: 0.4425
Matches: [('spoon_head', 'wood_wheel'), ('spoon_body', 'fries')], Total Error: 1.2012, Shape Error: 0.5099, Size Error: 0.4673, Ratio Error: 0.4479
Matches: [('spoon_head', 'wood_wheel'), ('spoon_body', 'tongs')], Total Error: 1.2025, Shape Error: 0.5309, Size Error: 0.4721, Ratio Error: 0.3990
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'red_cylinder_magnetic')], Total Error: 1.2122, Shape Error: 0.5799, Size Error: 0.4264, Ratio Error: 0.4119
Matches: [('spoon_head', 'popcorn'), ('spoon_body', 'wood_short_midPoint')], Total Error: 1.2330, Shape Error: 0.5048, Size Error: 0.4148, Ratio Error: 0.6269
Matches: [('spoon_head', 'gripper_sleeve'), ('spoon_body', 'wood_L_shape')], Total Error: 1.2401, Shape Error: 0.4250, Size Error: 0.6031, Ratio Error: 0.4239
Matches: [('spoon_head', 'foam_triangle'), ('spoon_body', 'wood_L_shape')], Total Error: 1.2404, Shape Error: 0.7140, Size Error: 0.4427, Ratio Error: 0.1673
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'gelatin_box')], Total Error: 1.2520, Shape Error: 0.1894, Size Error: 0.7030, Ratio Error: 0.7192
Matches: [('spoon_head', 'red_bowl'), ('spoon_body', 'drill_bit')], Total Error: 1.2522, Shape Error: 0.5899, Size Error: 0.4395, Ratio Error: 0.4457
Matches: [('spoon_head', 'popcorn'), ('spoon_body', 'plastic_claw')], Total Error: 1.2570, Shape Error: 0.0872, Size Error: 0.6792, Ratio Error: 0.9813
Matches: [('spoon_head', 'pizza'), ('spoon_body', 'wood_L_shape')], Total Error: 1.2600, Shape Error: 0.5541, Size Error: 0.5408, Ratio Error: 0.3302
Matches: [('spoon_head', 'plastic_wahl_clippers'), ('spoon_body', 'wooden_screw')], Total Error: 1.2738, Shape Error: 0.7870, Size Error: 0.2708, Ratio Error: 0.4319
Matches: [('spoon_head', 'popcorn'), ('spoon_body', 'foam_roll')], Total Error: 1.3075, Shape Error: 0.5069, Size Error: 0.4408, Ratio Error: 0.7197
Matches: [('spoon_head', 'wood_wheel'), ('spoon_body', 'wooden_screw')], Total Error: 1.3103, Shape Error: 0.6567, Size Error: 0.4134, Ratio Error: 0.4804
Matches: [('spoon_head', 'red_bowl'), ('spoon_body', 'wood_L_shape')], Total Error: 1.3116, Shape Error: 0.5899, Size Error: 0.5550, Ratio Error: 0.3334
Matches: [('spoon_head', 'plastic_wahl_clippers'), ('spoon_body', 'pliers')], Total Error: 1.3117, Shape Error: 0.5138, Size Error: 0.4330, Ratio Error: 0.7297
Matches: [('spoon_head', 'popcorn'), ('spoon_body', 'screwdriver_large')], Total Error: 1.3125, Shape Error: 0.4514, Size Error: 0.4622, Ratio Error: 0.7978
Matches: [('spoon_head', 'plastic_wahl_clippers'), ('spoon_body', 'screwdriver_small')], Total Error: 1.3185, Shape Error: 0.7400, Size Error: 0.3541, Ratio Error: 0.4487
Matches: [('spoon_head', 'plastic_wahl_clippers'), ('spoon_body', 'wood_long_endPoint')], Total Error: 1.3259, Shape Error: 0.9128, Size Error: 0.2360, Ratio Error: 0.3543
Matches: [('spoon_head', 'gripper_sleeve'), ('spoon_body', 'plastic_clip')], Total Error: 1.3284, Shape Error: 0.4622, Size Error: 0.5177, Ratio Error: 0.6969
Matches: [('spoon_head', 'foam_triangle'), ('spoon_body', 'plastic_clip')], Total Error: 1.3287, Shape Error: 0.7512, Size Error: 0.3574, Ratio Error: 0.4402
Matches: [('spoon_head', 'steel_bowl_small'), ('spoon_body', 'drill_bit')], Total Error: 1.3435, Shape Error: 0.7267, Size Error: 0.4171, Ratio Error: 0.3994
Matches: [('spoon_head', 'wood_wheel'), ('spoon_body', 'pliers')], Total Error: 1.3483, Shape Error: 0.3835, Size Error: 0.5757, Ratio Error: 0.7782
Matches: [('spoon_head', 'pizza'), ('spoon_body', 'plastic_clip')], Total Error: 1.3484, Shape Error: 0.5913, Size Error: 0.4555, Ratio Error: 0.6032
Matches: [('spoon_head', 'steel_bowl'), ('spoon_body', 'tuna_can')], Total Error: 1.3510, Shape Error: 0.1092, Size Error: 0.7994, Ratio Error: 0.8848
Matches: [('spoon_head', 'wood_wheel'), ('spoon_body', 'screwdriver_small')], Total Error: 1.3550, Shape Error: 0.6097, Size Error: 0.4967, Ratio Error: 0.4972
Matches: [('spoon_head', 'wood_wheel'), ('spoon_body', 'wood_long_endPoint')], Total Error: 1.3625, Shape Error: 0.7824, Size Error: 0.3786, Ratio Error: 0.4028
Matches: [('spoon_head', 'popcorn'), ('spoon_body', 'red_cylinder_magnetic')], Total Error: 1.3642, Shape Error: 0.5413, Size Error: 0.4717, Ratio Error: 0.7024
Matches: [('spoon_head', 'plastic_wahl_clippers'), ('spoon_body', 'wood_short_midPoint')], Total Error: 1.3804, Shape Error: 0.9480, Size Error: 0.2481, Ratio Error: 0.3686
Matches: [('spoon_head', 'hotdog'), ('spoon_body', 'drill_bit')], Total Error: 1.3976, Shape Error: 0.4745, Size Error: 0.6266, Ratio Error: 0.5930
Matches: [('spoon_head', 'red_bowl'), ('spoon_body', 'plastic_clip')], Total Error: 1.3999, Shape Error: 0.6271, Size Error: 0.4696, Ratio Error: 0.6063
